"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"829",11067,"22.0263080764365,-159.591998880617","22.0267656946496,-159.544002099716","21.9812114068025,-159.54352456957","21.9807539322075,-159.591512342302","22.00376,-159.567759"
"830",11073,"19.8061619343712,-155.145035262034","19.8058289197399,-155.097473797624","19.7605152144929,-155.097827672795","19.7608481366515,-155.145380291269","19.783339,-155.121429"
"831",11081,"19.9895565498275,-155.476835446462","19.9892822403035,-155.429237733854","19.9439510586525,-155.42953012099","19.9442252912049,-155.47711897402","19.966754,-155.453181"
"832",11109,"20.8105611282385,-156.808961989628","20.8105229487352,-156.761202512035","20.765108194817,-156.761247113164","20.7651463631028,-156.808997670542","20.787835,-156.785102"
"833",11128,"19.1754599694447,-155.719118062732","19.1752290038533,-155.671678829491","19.1299694939643,-155.671925263852","19.1302003977136,-155.719355696316","19.152715,-155.695519"
"834",11138,"20.9916194799453,-156.378663288318","20.9915048063945,-156.330868367123","20.9460705592256,-156.330993436362","20.9461851987463,-156.378779424149","20.968845,-156.354826"
"835",11140,"21.3992241968886,-158.10113609739","21.3994158353314,-158.053261168918","21.3539357066431,-158.053063970565","21.3537441263504,-158.100929935802","21.37658,-158.077098"
"836",11170,"21.1741256448907,-157","21.1741213926236,-156.952169007049","21.1286666683369,-156.952177954002","21.1286709193294,-157","21.151397,-156.976087"
"837",11172,"21.5365701795484,-157.862245147718","21.5367193689643,-157.814342973049","21.4912229773439,-157.814190420122","21.4910738335359,-157.862083621288","21.513897,-157.838216"
"838",11233,"19.6252556807758,-155.193940837807","19.6249314552277,-155.146414609298","19.5796340276568,-155.146759125654","19.579958164101,-155.194276521304","19.602445,-155.170348"
"839",11241,"19.3547408856591,-155.385847402386","19.3544508193929,-155.338373643829","19.3091766747866,-155.338682139831","19.3094666625718,-155.386147084929","19.331959,-155.362263"
"840",11243,"22.117433688967,-159.592972505498","22.1178915956008,-159.544957698113","22.0723257462744,-159.544479809197","22.0718679840485,-159.592485601648","22.09488,-159.568724"
"841",11245,"19.7653995455969,-156.001346179734","19.7652183296683,-155.953791754748","19.7199074608939,-155.953986321214","19.7200886266176,-156.001531902546","19.742654,-155.977664"
"842",11268,"19.0403343363237,-155.862069736475","19.040128730994,-155.814656641382","18.9948800726114,-155.814876428523","18.9950856233229,-155.862280732485","19.017608,-155.838471"
"843",11272,"21.1285646445527,-157.239110163061","21.1286029034638,-157.191288150527","21.0831533052154,-157.191252376122","21.0831150577435,-157.239065445068","21.105859,-157.215179"
"844",11285,"19.5838099640951,-155.907050588786","19.5836121098826,-155.859531666442","19.5383176061641,-155.85974360463","19.5385154061305,-155.907253696547","19.561064,-155.883395"
"845",11292,"21.6724091350735,-158.05444591173","21.6725925931295,-158.00651705915","21.6270800908578,-158.006328400413","21.6268966892982,-158.054248269542","21.649745,-158.030385"
"846",11305,"19.8543471845278,-155.620399763207","19.8540984036849,-155.572828313078","19.8087797059976,-155.573093824657","19.8090284175668,-155.620656424925","19.831564,-155.596745"
"847",11309,"19.4928209284606,-155.812454278006","19.4926063536814,-155.764953173939","19.4473199062964,-155.765182602262","19.4475344225531,-155.812674882551","19.470071,-155.788816"
"848",11317,"19.9884086730806,-155.286445262575","19.9881006046085,-155.238848005327","19.9427697545117,-155.239175830146","19.9430777365455,-155.286764228071","19.96559,-155.262808"
"849",11349,"20.7179345911789,-155.997429977983","20.7177522872382,-155.949689073327","20.6723477617439,-155.949885168609","20.6725300123963,-155.997617160123","20.695142,-155.973655"
