"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"40","1179","18.1798428021058,-65.932792690736","18.1796988917856,-65.885525747648","18.1345314271733,-65.8856823312954","18.1346753011924,-65.9329372297222","18.383163,-67.044198"
"41","1181","18.2704309340949,-66.9729142914254","18.2705403615921,-66.9256230375947","18.2253729465659,-66.9255145223156","18.2252635468199,-66.972793719042","17.930866,-67.231616"
"42","1183","18.2706382704625,-66.1216682715975","18.2705403615921,-66.0743769624053","18.2253729465659,-66.0744854776844","18.2254708306061,-66.12176472973","18.112596,-66.85437"
"43","1188","18.496838615973,-66.4526480904168","18.4968213157961,-66.4052961870085","18.4516537473326,-66.4053203632433","18.4516710430634,-66.4526601785366","18.157039,-65.861974"
"44","1197","18.2710011096873,-66.5472915306392","18.2710068690461,-66.5","18.2258393357099,-66.5","18.2258335778118,-66.5472794733232","18.474017,-66.807748"
"45","1202","18.2250102002973,-67.0673519219519","18.2251426313892,-67.0200728543029","18.1799751997027,-67.0199402924741","18.1798428021058,-67.067207309264","18.428919,-66.239664"
"46","1211","18.4044285900028,-65.6007799777794","18.4042038059089,-65.5534534096769","18.3590369201397,-65.5536949190836","18.359261646778,-65.6010094122985","17.931924,-66.145991"
"47","1213","18.2254708306061,-66.87823527027","18.2255571989215,-66.8309559690519","18.1803896623789,-66.8308716111298","18.1803033159088,-66.8781388613102","18.157672,-66.098279"
"48","1218","18.3146995906307,-67.2568533196352","18.3148781747716,-67.2095504642425","18.2697110180288,-67.20936951487","18.2695324792954,-67.2566603073604","18.157845,-66.192801"
"49","1220","18.0903131639807,-66.4055133296598","18.0902843962778,-66.3582700098211","18.0451164124992,-66.3583061080751","18.0451451729839,-66.4055373951703","18.47321,-67.139167"
"50","1227","18.450846615118,-65.9319239071055","18.450702484755,-65.8845845669127","18.4055352235631,-65.8847416305379","18.4056793169853,-65.9320688891495","18.112804,-66.287378"
"51","1229","18.2258335778118,-66.5472794733232","18.2258393357099,-66.5","18.1806717278052,-66.5","18.1806659713635,-66.5472674221539","18.428976,-66.713002"
"52","123","18.0444721788446,-65.9804569878574","18.0443398811469,-65.9332260868142","17.9991719070424,-65.9333704050326","17.9993041716351,-65.9805892797549","18.066991,-67.043228"
"53","1243","18.2241753108953,-65.6962539691002","18.2239737864529,-65.6489754361929","18.1788066503858,-65.6491923526874","18.1790081238611,-65.6964588351443","17.97738,-66.381967"
"54","1247","18.0901290507614,-66.2165401852207","18.0900542548199,-66.1692969757675","18.0448863287868,-66.1693812048084","18.0449611059611,-66.2166123816023","18.292022,-65.719595"
"55","125","18.3608750771784,-66.9258402342796","18.3609730359265,-66.878524792336","18.3158056630409,-66.8784282357453","18.3157077292679,-66.9257316082352","18.112401,-66.948868"
"56","1252","18.4967521151058,-66.3105924234164","18.4967002146059,-66.2632405755824","18.4515326772644,-66.2633010160866","18.4515845644262,-66.3106407758482","18.338123,-66.99675"
"57","1261","18.4064574234988,-66.6419831938798","18.4064862423244,-66.5946554728623","18.3613187731183,-66.5946313212988","18.3612899616598,-66.6419469665464","18.338123,-66.00325"
"58","1264","18.1329660853069,-65.5076465315281","18.1327186244247,-65.4603925720612","18.0875514854908,-65.4606574193397","18.0877988841254,-65.5078993409998","18.429057,-66.381666"
"59","127","18.4061404167272,-66.1213786017876","18.4060424329312,-66.0740510842298","18.3608750771784,-66.0741597657204","18.3609730359265,-66.121475207664","18.293589,-66.523649"
"60","1271","17.9535380358915,-67.2081054488019","17.9537047622601,-67.1608988328941","17.9085364097939,-67.1607306335866","17.90836972492,-67.2079252355966","18.292691,-67.091218"
"61","1275","18.4503796331702,-65.7899061333292","18.4502009120119,-65.742567052278","18.4050337793711,-65.7427603602594","18.4052124547244,-65.7900873599278","18.157971,-66.287324"
"62","1277","18.0900542548199,-66.8307030242325","18.0901290507614,-66.7834598147793","18.0449611059611,-66.7833876183977","18.0448863287868,-66.8306187951916","18.247374,-65.861648"
"63","1291","18.0893638322143,-65.8858388351604","18.0892084874934,-65.8385960549794","18.0440407736667,-65.8387645114543","18.0441960794117,-65.885995259304","18.112919,-66.523625"
